trade_date,symbol,open,high,low,close,pre_close,volume,amount,turnover,pct_chg,adjustment_mode,trading_status,is_st,pe_ttm,pb,benchmark_symbol,benchmark_return_1d,benchmark_return_5d,benchmark_return_20d,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_ready_1d,label_ready_5d,label_ready_20d,source_provider,source_provider_priority,crosscheck_provider,crosscheck_status,source_warning_codes,panel_contract_status,universe_mode,non_actionable_disclaimer
2026-05-08,002352.SZ,37.41,37.78,37.3,37.7,37.57,24368481,916644880.11,0.5109,0.346,baostock_adjustflag_3_unadjusted,trading,false,16.652707,1.892858,000300.SH,0.0164051396,-0.0025286786,-0.0112876213,-0.0074270557,-0.0490716180,-0.0753315650,-0.0238321954,-0.0465429395,-0.0640439437,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-11,002352.SZ,37.8,37.8,37.11,37.42,37.7,29702209,1109499644.07,0.6227,-0.7427,baostock_adjustflag_3_unadjusted,trading,false,16.529027,1.8788,000300.SH,-0.0007653928,-0.0238927310,-0.0481035259,-0.0122928915,-0.0451630144,-0.0758952432,-0.0115274987,-0.0212702834,-0.0277917173,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-12,002352.SZ,37.36,37.48,36.96,36.96,37.42,19487383,723985296.24,0.4085,-1.2293,baostock_adjustflag_3_unadjusted,trading,false,16.325837,1.855704,000300.SH,0.0101646579,-0.0192324991,-0.0295542695,-0.0081168831,-0.0451839827,-0.0790043290,-0.0182815410,-0.0259514836,-0.0494500595,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-13,002352.SZ,36.96,36.99,36.34,36.66,36.96,28103067,1027254742.23,0.5892,-0.8117,baostock_adjustflag_3_unadjusted,trading,false,16.193322,1.840641,000300.SH,-0.0167544768,-0.0295381366,-0.0499662718,-0.0117294053,-0.0256410256,-0.0499181669,0.0050250714,0.0038971110,0.0000481049,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-14,002352.SZ,36.6,36.72,36.22,36.23,36.66,18830474,685457757.3,0.3948,-1.1729,baostock_adjustflag_3_unadjusted,trading,false,16.003384,1.819052,000300.SH,-0.0111920466,-0.0267569238,-0.0391049146,-0.0104885454,-0.0207010765,-0.0524427270,0.0007035012,0.0060558473,-0.0133378124,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-15,002352.SZ,36.18,36.21,35.75,35.85,36.23,21591174,775454932.88,0.4526,-1.0489,baostock_adjustflag_3_unadjusted,trading,false,15.835532,1.799972,000300.SH,-0.0053644413,-0.0029831924,-0.0169298345,-0.0033472803,-0.0195258020,-0.0415620642,0.0020171610,-0.0165426096,-0.0246322297,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-18,002352.SZ,35.99,35.99,35.52,35.73,35.85,16895893,602317796.47,0.3542,-0.3347,baostock_adjustflag_3_unadjusted,trading,false,15.782526,1.793947,000300.SH,0.0040052560,0.0182214272,0.0120386086,-0.0123145816,-0.0030786454,-0.0598936468,-0.0163198376,-0.0213000726,-0.0719322554,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-19,002352.SZ,35.51,35.58,35.12,35.29,35.31,17339557,611928398.14,0.3635,-0.0566,baostock_adjustflag_3_unadjusted,trading,false,15.588171,1.771856,000300.SH,-0.0004498769,0.0195690059,0.0064598711,0.0121847549,0.0181354491,-0.0801926891,0.0126346318,-0.0014335568,-0.0866525603,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-20,002352.SZ,35.35,35.96,35,35.72,35.29,23411221,826741250.88,0.4908,1.2185,baostock_adjustflag_3_unadjusted,trading,false,15.778109,1.793445,000300.SH,-0.0139366277,0.0118480632,0.0166339085,-0.0067189250,0.0002799552,-0.0985442329,0.0072177027,-0.0115681080,-0.1151781414,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-21,002352.SZ,35.72,35.85,35.31,35.48,35.72,20559904,732404804.43,0.431,-0.6719,baostock_adjustflag_3_unadjusted,trading,false,15.672097,1.781395,000300.SH,0.0129618931,0.0274122987,0.0331377307,-0.0093010147,-0.0067643743,-0.1107666291,-0.0222629078,-0.0341766730,-0.1439043597,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
