trade_date,symbol,signal_date,execution_date,recommendation_eligibility,actionability_status,risk_severity,warning_codes,evaluation_status,evaluation_reason,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_source_path,label_source_trade_date,label_ready,diagnostic_mode,non_actionable_disclaimer
2024-08-01,000001.SZ,2024-08-01,2024-08-02,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.010067,-0.011186,,0.002068,0.004403,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-02,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-02,000001.SZ,2024-08-02,2024-08-05,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.013559,-0.00452,,-0.013457,0.000702,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-05,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-05,000001.SZ,2024-08-05,2024-08-06,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.0,0.002291,,0.000446,0.004861,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-06,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-06,000001.SZ,2024-08-06,2024-08-07,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.001145,-0.001145,,0.000711,0.008506,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-07,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-07,000001.SZ,2024-08-07,2024-08-08,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.011442,0.010297,,0.014825,0.010593,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-08,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-08,000001.SZ,2024-08-08,2024-08-09,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.003394,0.010181,,-0.001662,0.005979,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-09,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-09,000001.SZ,2024-08-09,2024-08-12,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.00681,0.031782,,-0.009375,0.022428,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-12,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-12,000001.SZ,2024-08-12,2024-08-13,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.003429,0.044571,,0.004114,0.045078,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-13,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-13,000001.SZ,2024-08-13,2024-08-14,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.012615,0.049312,,0.002731,0.045565,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-14,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-08-14,000001.SZ,2024-08-14,2024-08-15,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.011325,0.039638,,0.010224,0.048259,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-15,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
