trade_date,symbol,fwd_1d_return,fwd_3d_return,fwd_5d_return,benchmark_fwd_1d_return,benchmark_fwd_3d_return,benchmark_fwd_5d_return,excess_fwd_1d_return,excess_fwd_3d_return,excess_fwd_5d_return,provider_id,provider_mode,source_bundle_id,label_ready,label_contract_version,label_quality_flags
2024-09-13,000001.SZ,0.008235,0.023529,0.078824,0.003722,0.013231,0.060983,0.004513,0.010298,0.017841,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-18,000001.SZ,0.004667,0.031505,0.085181,0.007893,0.013166,0.072696,-0.003226,0.018339,0.012485,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-19,000001.SZ,0.010453,0.065041,0.155633,0.001568,0.04877,0.109285,0.008885,0.016271,0.046348,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-20,000001.SZ,0.016092,0.068966,0.174713,0.003658,0.062629,0.15702,0.012434,0.006337,0.017693,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-23,000001.SZ,0.03733,0.125566,0.245475,0.043312,0.103512,0.250591,-0.005982,0.022054,-0.005116,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-24,000001.SZ,0.014177,0.114504,0.273719,0.014804,0.104946,0.269754,-0.000627,0.009558,0.003965,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-25,000001.SZ,0.069892,0.183871,0.126882,0.042272,0.181189,0.163,0.02762,0.002682,-0.036118,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-26,000001.SZ,0.027136,0.173869,0.107538,0.044667,0.200484,0.127625,-0.017531,-0.026615,-0.020087,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-27,000001.SZ,0.077299,0.02544,0.052838,0.084826,0.068121,0.049543,-0.007527,-0.042681,0.003295,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-30,000001.SZ,0.060854,0.000908,0.004541,0.059298,-0.004993,-0.014065,0.001556,0.005901,0.018606,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-08,000001.SZ,-0.10274,-0.078767,-0.063356,-0.070515,-0.086683,-0.094009,-0.032225,0.007916,0.030653,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-09,000001.SZ,0.051527,0.055344,0.05916,0.010569,0.001355,-0.031444,0.040958,0.053989,0.090604,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-10,000001.SZ,-0.023593,-0.00726,-0.002722,-0.02767,-0.03547,-0.052421,0.004077,0.02821,0.049699,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-11,000001.SZ,0.027881,0.031599,0.02974,0.019081,-0.014298,0.009791,0.0088,0.045897,0.019949,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-14,000001.SZ,-0.01085,-0.006329,-0.018987,-0.026595,-0.043702,-0.006599,0.015745,0.037373,-0.012388,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-15,000001.SZ,0.014625,0.012797,-0.010055,-0.006328,0.017956,0.026398,0.020953,-0.005159,-0.036453,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-16,000001.SZ,-0.00991,-0.022523,-0.018018,-0.011319,0.027041,0.036961,0.001409,-0.049564,-0.054979,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-17,000001.SZ,0.008189,-0.014559,-0.018198,0.036167,0.04476,0.037118,-0.027978,-0.059319,-0.055316,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-18,000001.SZ,-0.020758,-0.016245,-0.029783,0.00254,0.012223,0.007946,-0.023298,-0.028468,-0.037729,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-21,000001.SZ,-0.001843,-0.00553,-0.015668,0.005738,-0.001619,0.007359,-0.007581,-0.003911,-0.023027,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-22,000001.SZ,0.006464,-0.007387,-0.023084,0.003899,-0.000344,-0.008371,0.002565,-0.007043,-0.014713,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-23,000001.SZ,-0.010092,-0.020183,-0.049541,-0.01117,-0.002278,-0.021081,0.001078,-0.017905,-0.02846,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-24,000001.SZ,-0.003707,-0.019462,-0.034291,0.007022,-0.001064,-0.009619,-0.010729,-0.018398,-0.024672,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-25,000001.SZ,-0.006512,-0.036279,-0.026047,0.001956,-0.016927,-0.016783,-0.008468,-0.019352,-0.009264,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-28,000001.SZ,-0.009363,-0.024345,-0.016854,-0.009967,-0.018445,-0.004894,0.000604,-0.0059,-0.01196,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-29,000001.SZ,-0.020794,-0.010397,0.010397,-0.008969,-0.008824,0.030556,-0.011825,-0.001573,-0.020159,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-30,000001.SZ,0.005792,0.013514,0.022201,0.000409,0.014221,0.034666,0.005383,-0.000707,-0.012465,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-10-31,000001.SZ,0.004798,0.025912,0.050864,-0.000262,0.039457,0.065448,0.00506,-0.013545,-0.014584,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-01,000001.SZ,0.002865,0.011461,0.027698,0.014072,0.034514,0.05502,-0.011207,-0.023053,-0.027322,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-04,000001.SZ,0.018095,0.042857,0.013333,0.025302,0.050938,0.047245,-0.007207,-0.008081,-0.033912,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-05,000001.SZ,-0.009355,0.006548,-0.01029,-0.005017,0.014706,0.010179,-0.004338,-0.008158,-0.020469,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-06,000001.SZ,0.033994,0.004721,0.005666,0.030172,0.026551,0.021522,0.003822,-0.02183,-0.015856,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-07,000001.SZ,-0.017352,-0.03379,-0.03379,-0.010047,-0.014463,-0.025588,-0.007305,-0.019327,-0.008202,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-08,000001.SZ,-0.011152,-0.010223,-0.026022,0.006598,0.001667,-0.032948,-0.01775,-0.01189,0.006926,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-11,000001.SZ,-0.005639,-0.005639,0.014098,-0.010987,-0.022151,-0.043753,0.005348,0.016512,0.057851,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-12,000001.SZ,0.006616,-0.009452,0.013233,0.006156,-0.028614,-0.026641,0.00046,0.019162,0.039874,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-13,000001.SZ,-0.006573,0.013146,0.002817,-0.017337,-0.039045,-0.030436,0.010764,0.052191,0.033253,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-14,000001.SZ,-0.009452,0.013233,0.004726,-0.017524,-0.015529,-0.012457,0.008072,0.028762,0.017183,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-15,000001.SZ,0.02958,0.019084,-0.015267,-0.004649,0.004268,-0.025985,0.034229,0.014816,0.010718,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-18,000001.SZ,-0.006487,-0.014829,-0.052827,0.006711,0.009852,-0.025894,-0.013198,-0.024681,-0.026933,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-19,000001.SZ,-0.003731,-0.037313,-0.038246,0.002233,-0.027959,-0.034376,-0.005964,-0.009354,-0.00387,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-20,000001.SZ,-0.004682,-0.043071,-0.023408,0.000886,-0.034543,-0.019753,-0.005568,-0.008528,-0.003655,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-11-21,000001.SZ,-0.029163,-0.030103,-0.023518,-0.030983,-0.03738,-0.029266,0.00182,0.007277,0.005748,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
