trade_date,board_id,board_name,board_type,classification_system,open,high,low,close,volume,amount,turnover,constituent_count,positive_constituent_share,negative_constituent_share,trailing_return_5d,trailing_return_20d,trailing_volatility_20d,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2026-04-08,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.8560400000,50,0.9600000000,0.0400000000,0.0195167679,0.0775272024,0.0137678558,market_turnover_proxy,baostock,2026-04-08,2026-04-08,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-09,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.1800000000,0.8200000000,0.0373139844,0.0836189432,0.0142309981,market_breadth_proxy,baostock,2026-04-09,2026-04-09,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-09,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.1800000000,0.8200000000,0.0373139844,0.0836189432,0.0142309981,industry_indices,baostock,2026-04-09,2026-04-09,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-09,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.5485340000,50,0.1800000000,0.8200000000,0.0373139844,0.0836189432,0.0142309981,market_turnover_proxy,baostock,2026-04-09,2026-04-09,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-10,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.7600000000,0.2200000000,0.0198651567,0.0780267636,0.0142176118,market_breadth_proxy,baostock,2026-04-10,2026-04-10,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-10,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.7600000000,0.2200000000,0.0198651567,0.0780267636,0.0142176118,industry_indices,baostock,2026-04-10,2026-04-10,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-10,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.9321020000,50,0.7600000000,0.2200000000,0.0198651567,0.0780267636,0.0142176118,market_turnover_proxy,baostock,2026-04-10,2026-04-10,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-13,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4600000000,0.5400000000,0.0239525607,0.0577773499,0.0144571842,market_breadth_proxy,baostock,2026-04-13,2026-04-13,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-13,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4600000000,0.5400000000,0.0239525607,0.0577773499,0.0144571842,industry_indices,baostock,2026-04-13,2026-04-13,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-13,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.7485720000,50,0.4600000000,0.5400000000,0.0239525607,0.0577773499,0.0144571842,market_turnover_proxy,baostock,2026-04-13,2026-04-13,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-14,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.7800000000,0.2000000000,0.0141904433,0.0336735688,0.0143778582,market_breadth_proxy,baostock,2026-04-14,2026-04-14,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-14,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.7800000000,0.2000000000,0.0141904433,0.0336735688,0.0143778582,industry_indices,baostock,2026-04-14,2026-04-14,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-14,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.7573980000,50,0.7800000000,0.2000000000,0.0141904433,0.0336735688,0.0143778582,market_turnover_proxy,baostock,2026-04-14,2026-04-14,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-15,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.4400000000,0.5400000000,0.0244129316,0.0316477059,0.0145332194,market_breadth_proxy,baostock,2026-04-15,2026-04-15,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
