trade_date,existing_composite_regime_label,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,broad_index_trend_5d,broad_index_trend_20d,broad_index_volatility_20d,market_turnover_level,market_liquidity_pressure,sector_breadth_positive_share,sector_dispersion_level,northbound_flow_level,margin_financing_pressure,suspension_pressure,st_risk_share,source_coverage_score,external_data_quality_score,no_lookahead_status,data_status,non_actionable_disclaimer
2026-01-20,mixed_uncertain_review_only,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,-0.0027943930,0.0036041617,0.0065586209,1.9135620000,liquidity_expanded_review_only,0.4800000000,2.8550244979,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-21,mixed_uncertain_review_only,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,-0.0010751060,0.0008055567,0.0065602269,1.9008000000,liquidity_normal_review_only,0.4000000000,2.1263789680,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-22,mixed_uncertain_review_only,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0063849402,-0.0027652423,0.0066574801,1.8412220000,liquidity_normal_review_only,0.3400000000,2.4612269497,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-23,mixed_uncertain_review_only,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,0.0008173318,0.0055655968,0.0066531444,2.1465880000,liquidity_expanded_review_only,0.5000000000,2.5764544798,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-26,risk_off_high_vol_review_only,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,-0.0214541900,-0.0108494138,0.0066318461,2.2507660000,liquidity_expanded_review_only,0.3800000000,3.0902095473,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-27,risk_off_high_vol_review_only,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,-0.0096870773,-0.0219026456,0.0065677248,1.9534140000,liquidity_expanded_review_only,0.2800000000,2.0039978478,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-28,risk_off_high_vol_review_only,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,-0.0040924619,-0.0149002603,0.0067230442,2.0153020000,liquidity_expanded_review_only,0.3400000000,1.6101167559,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-29,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_mixed_review_only,-0.0175543095,-0.0196536098,0.0070479854,2.3105060000,liquidity_expanded_review_only,0.6200000000,3.5177770845,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-30,risk_off_high_vol_review_only,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_mixed_review_only,-0.0133318457,-0.0193111841,0.0073326167,2.0576400000,liquidity_expanded_review_only,0.1200000000,2.6511396970,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-02-02,mixed_uncertain_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_mixed_review_only,0.0245498249,0.0149319583,0.0069461355,1.8474260000,liquidity_normal_review_only,0.2000000000,2.3524540491,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
