index_id,index_name,trade_date,close,return_1d,source_provider,no_lookahead_status
sh000300,csi300,2023-09-20,3705.69,-0.00398118,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-21,3672.445,-0.00897134,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-22,3738.933,0.01810456,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-25,3714.604,-0.00650694,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-26,3692.893,-0.00584477,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-27,3700.495,0.00205855,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-28,3689.517,-0.00296663,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-09,3684.727,-0.00129827,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-10,3657.126,-0.00749065,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-11,3667.548,0.00284978,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-12,3702.382,0.0094979,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-13,3663.41,-0.0105262,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-16,3626.597,-0.01004883,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-17,3639.402,0.00353086,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-18,3610.577,-0.00792026,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-19,3533.545,-0.02133509,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-20,3510.589,-0.00649659,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-23,3474.244,-0.01035296,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-24,3487.13,0.00370901,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-25,3504.458,0.00496913,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-26,3514.145,0.00276419,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-10-27,3562.385,0.01372738,akshare_sina,passed_current_or_past_only
