trade_date,benchmark_symbol,base_composite_regime_label,refined_composite_regime_label,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,benchmark_trend_expanded_agreement,benchmark_volatility_expanded_agreement,breadth_expanded_agreement,dispersion_expanded_agreement,liquidity_expanded_agreement,downside_risk_expanded_agreement,broad_index_trend_20d,broad_index_volatility_20d,sector_breadth_positive_share,sector_dispersion_level,market_liquidity_pressure,expanded_dimension_available_count,expanded_dimension_agreement_count,regime_confidence_tier,source_coverage_score,external_data_quality_score,regime_refinement_status,no_lookahead_status,non_actionable_disclaimer
2025-12-31,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0165014251,0.0080304756,0.2600000000,1.1846685905,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-05,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0236905096,0.0084552408,0.8600000000,1.5297315094,liquidity_normal_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-06,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0272583483,0.0084137372,0.8600000000,2.7566085682,liquidity_expanded_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-07,000300.SH,risk_off_high_vol_review_only,risk_off_high_vol_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0163257392,0.0085629821,0.1800000000,1.8225762132,liquidity_expanded_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-08,000300.SH,risk_off_high_vol_review_only,risk_off_high_vol_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0141915821,0.0085585497,0.2200000000,1.8287999752,liquidity_normal_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-09,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0242336810,0.0082646780,0.8400000000,1.4072096163,liquidity_normal_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-12,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0147934969,0.0084222530,0.6600000000,2.5067844195,liquidity_expanded_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-13,000300.SH,risk_off_high_vol_review_only,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,diverge_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0077161416,0.0083238491,0.2800000000,1.7844519284,liquidity_expanded_review_only,5,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-14,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0059284081,0.0076761526,0.4200000000,1.6853396338,liquidity_expanded_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2026-01-15,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,diverge_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,-0.0067035197,0.0069276680,0.5400000000,2.0826348550,liquidity_expanded_review_only,5,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
