candidate_id,base_refined_factor_id,source_factor_id,factor_family,refinement_type,readiness_transform,readiness_status,holdout_mean_ic_1d,holdout_rank_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,provider_robustness_status,non_actionable_disclaimer
alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,horizon_specific,identity,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,horizon_specific,cross_sectional_zscore,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,horizon_specific,cross_sectional_rank,not_ready,0.02562,0.008274,0.5366,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__horizon_specific__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__horizon_specific,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,horizon_specific,winsorized_zscore,not_ready,0.027356,0.008,0.5488,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,liquidity_filtered,identity,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,liquidity_filtered,cross_sectional_zscore,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,liquidity_filtered,cross_sectional_rank,not_ready,0.02562,0.008274,0.5366,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__liquidity_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,liquidity_filtered,winsorized_zscore,not_ready,0.027356,0.008,0.5488,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,review_queue_conditioned,identity,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,review_queue_conditioned,cross_sectional_zscore,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,review_queue_conditioned,cross_sectional_rank,not_ready,0.02562,0.008274,0.5366,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__review_queue_conditioned,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,review_queue_conditioned,winsorized_zscore,not_ready,0.027356,0.008,0.5488,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_filtered,identity,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_filtered,cross_sectional_zscore,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_filtered,cross_sectional_rank,not_ready,0.02562,0.008274,0.5366,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,risk_filtered,winsorized_zscore,not_ready,0.027356,0.008,0.5488,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_filtered,identity,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_filtered,cross_sectional_zscore,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_filtered,cross_sectional_rank,not_ready,0.020431,0.007222,0.5569,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__downside_risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,downside_risk_filtered,winsorized_zscore,not_ready,0.022763,0.007234,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,horizon_specific,identity,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,horizon_specific,cross_sectional_zscore,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,horizon_specific,cross_sectional_rank,not_ready,0.020431,0.007222,0.5569,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__horizon_specific,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,horizon_specific,winsorized_zscore,not_ready,0.022763,0.007234,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,liquidity_filtered,identity,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,liquidity_filtered,cross_sectional_zscore,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,liquidity_filtered,cross_sectional_rank,not_ready,0.020431,0.007222,0.5569,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__liquidity_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,liquidity_filtered,winsorized_zscore,not_ready,0.022763,0.007234,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,review_queue_conditioned,identity,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,review_queue_conditioned,cross_sectional_zscore,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,review_queue_conditioned,cross_sectional_rank,not_ready,0.020431,0.007222,0.5569,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__review_queue_conditioned,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,review_queue_conditioned,winsorized_zscore,not_ready,0.022763,0.007234,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_filtered,identity,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_filtered,cross_sectional_zscore,not_ready,0.028337,0.007222,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_filtered,cross_sectional_rank,not_ready,0.020431,0.007222,0.5569,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_5d__risk_filtered,alpha_vol_adj_momentum_5d,volatility_adjusted_momentum,risk_filtered,winsorized_zscore,not_ready,0.022763,0.007234,0.5689,0,6837,1.0,false,pass_with_discrepancy_warnings,research_only
