candidate_id,base_refined_factor_id,old_status,new_status,old_ic_1d,new_ic_1d,old_rank_ic_1d,new_rank_ic_1d,old_sign_stability,new_sign_stability,old_regime_consistency,new_regime_consistency,old_sample_size,new_sample_size,oos_change,transition_category,readiness_transition_reason
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,conditionally_useful,not_ready,0.017993,0.0,-0.0097320554,0.0,0.6087,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1099,0,-0.017993,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__downside_risk_filtered,not_ready,not_ready,0.001392,0.0,-0.0097320554,0.0,0.5217,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1099,0,-0.001392,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,conditionally_useful,not_ready,0.035435,0.0,-0.0097320554,0.0,0.6087,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1099,0,-0.035435,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d__horizon_specific,not_ready,not_ready,-0.029816,0.0,-0.0082187018,0.0,0.4783,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1150,0,0.029816,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__horizon_specific,not_ready,not_ready,-0.029816,0.0,-0.0082187018,0.0,0.4783,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1150,0,0.029816,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__horizon_specific,not_ready,not_ready,-0.016487,0.0,-0.0082187018,0.0,0.5652,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1150,0,0.016487,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__horizon_specific__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__horizon_specific,conditionally_useful,not_ready,0.016038,0.0,-0.0082187018,0.0,0.6087,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1150,0,-0.016038,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d__liquidity_filtered,not_ready,not_ready,-0.024095,0.0,-0.0070932500,0.0,0.5217,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,897,0,0.024095,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,not_ready,not_ready,-0.024095,0.0,-0.0070932500,0.0,0.5217,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,897,0,0.024095,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__liquidity_filtered,not_ready,not_ready,-0.01875,0.0,-0.0070932500,0.0,0.5652,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,897,0,0.01875,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,not_ready,not_ready,-0.006113,0.0,-0.0070932500,0.0,0.4783,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,897,0,0.006113,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d__review_queue_conditioned,not_ready,not_ready,-0.034072,0.0,0.1055263791,0.0,0.5,0.0,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,52,0,0.034072,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,not_ready,not_ready,-0.034072,0.0,0.1055263791,0.0,0.5,0.0,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,52,0,0.034072,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__review_queue_conditioned,not_ready,not_ready,-0.066844,0.0,0.1055263791,0.0,0.6667,0.0,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,52,0,0.066844,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,not_ready,not_ready,-0.034072,0.0,0.1055263791,0.0,0.5,0.0,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,52,0,0.034072,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d__risk_filtered,not_ready,not_ready,-0.02713,0.0,-0.0090276670,0.0,0.4783,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1050,0,0.02713,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__risk_filtered,not_ready,not_ready,-0.02713,0.0,-0.0090276670,0.0,0.4783,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1050,0,0.02713,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__risk_filtered,not_ready,not_ready,-0.037422,0.0,-0.0090276670,0.0,0.6522,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1050,0,0.037422,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_price_volume_confirmation_5d__risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__risk_filtered,not_ready,not_ready,0.009219,0.0,-0.0090276670,0.0,0.5652,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1050,0,-0.009219,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
