candidate_id,factor_family,old_status,new_status,transition_category,failed_criterion_count,failed_criteria,primary_failure_class,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,research_decision
alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_rank,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_zscore,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__risk_filtered__readiness_winsorized_zscore,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__downside_risk_filtered,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_rank,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023927,0.561,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_zscore,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_winsorized_zscore,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023761,0.5732,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__horizon_specific,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_rank,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023927,0.561,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_zscore,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_winsorized_zscore,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023761,0.5732,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__liquidity_filtered,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_rank,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023927,0.561,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_zscore,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_winsorized_zscore,risk_adjusted_alpha_candidate,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023761,0.5732,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__review_queue_conditioned,risk_adjusted_alpha_candidate,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_rank,risk_adjusted_alpha_candidate,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023927,0.561,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_zscore,risk_adjusted_alpha_candidate,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_winsorized_zscore,risk_adjusted_alpha_candidate,not_ready,not_ready,unchanged_not_ready,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023761,0.5732,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__risk_filtered,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_rank,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.023927,0.561,0,6714,redesign_or_stop_no_promotion
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_zscore,risk_adjusted_alpha_candidate,conditionally_useful,not_ready,lost_conditional_status,4,base_precondition_pass;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2,holdout_strong_ic_1d,0.025906,0.561,1,6714,redesign_or_stop_no_promotion
